The Honorary Consul|1983|John Mackenzie
The Big Chill|1983|Lawrence Kasdan
The Black Stallion Returns|1983|Robert Dalva
Blue Thunder|1983|John Badham
Chained Heat|1983|Paul Nicholas
Champions|1984|John Irvin
A Christmas Story|1983|Bob Clark
Cujo|1983|Lewis Teague
Deadly Force|1983|Paul Aaron
Doctor Detroit|1983|Michael Pressman
The Dresser|1983|Peter Yates
Eddie Macon's Run|1983|Jeff Kanew
Eyes of Fire|1983|Avery Crounse
Fire and Ice|1983|Ralph Bakshi
Flashdance|1983|Adrian Lyne
Get Crazy|1983|Allan Arkush
Going Berserk|1983|David Steinberg
Hercules|1983|Luigi Cozzi
Hercules|1997|Ron Clements
High Road to China|1983|Brian G. Hutton
The House on Sorority Row|1983|Mark Rosman
The King of Comedy|1982|New York York
Koyaanisqatsi|1982|Godfrey Reggio
Krull|1983|Peter Yates
Last Plane Out|1983|David Nelson
Lone Wolf McQuade|1983|Steve Carver
The Lonely Lady|1983|Peter Sasdy
Lovesick|1983|Marshall Brickman
Max Dugan Returns|1983|Herbert Ross
Mickey's Christmas Carol|1983|Burny Mattinson
The Meaning of Life|1983|Terry Gilliam
My Tutor|1983|George Bowers
Nankyoku monogatari|1983|Koreyoshi Kurahara
Vacation|1983|Harold Ramis
Never Cry Wolf|1983|Carroll Ballard
Never Say Never Again|1983|Irvin Kershner
Octopussy|1983|John Glen
Of Unknown Origin|1983|George P. Cosmatos
The Pirates of Penzance|1983|Wilford Leach
Porky's II: The Next Day|1983|Bob Clark
Star Wars: Episode VI - Return of the Jedi|1983|Richard Marquand
The Right Stuff|1983|Philip Kaufman
Risky Business|1983|Paul Brickman
Rock & Rule|1983|Clive A. Smith
Sahara|2005|Breck Eisner
Scream|1981|Little Chuck Chuck
Something Wicked This Way Comes|1983|Jack Clayton
The Star Chamber|1983|My Love Goodnight
Staying Alive|1983|Sylvester Stallone
Still Smokin|1983|Tommy Chong
The Adventures of Bob & Doug McKenzie: Strange Brew|1983|Rick Moranis
Stroker Ace|1983|Hal Needham
Sudden Impact|1983|Clint Eastwood
The Survivors|1983|Michael Ritchie
Tender Mercies|1983|Bruce Beresford
Terms of Endearment|1983|James L. Brooks
Testament|1983|Lynne Littman
To Be or Not to Be|1983|Alan Johnson
Twilight Zone: The Movie|1983|Joe Dante
Uncommon Valor|1983|I Love You Pussycat
The Year of Living Dangerously|1982|Peter Weir
